"id","submitdate","G01Q04","G01Q17","G01Q18","G01Q19","G01Q05","G01Q06[SQ001]","G01Q06[SQ002]","G01Q06[SQ003]","G01Q06[SQ004]","G01Q06[SQ005]","G01Q11","G02Q02","G02Q07[SQ001]","G02Q07[SQ012]","G02Q07[SQ022]","G02Q07[SQ032]","G02Q07[SQ042]","G02Q07[SQ052]","G02Q07[SQ062]","G02Q07[SQ072]","G02Q07[SQ082]","G02Q07[SQ092]","G02Q08","G02Q09","G02Q10[SQ012]","G02Q10[SQ022]","G02Q10[SQ032]","G02Q10[SQ053]","G02Q10[SQ042]","G02Q10[SQ052]","G02Q12","G03Q03","G03Q13","G03Q14","G03Q15","G03Q16"
"1","2021-10-02 18:55:00","Yes","Last minute","No","No","Yes","No","No","No","No","Yes","Find something appropriate but also convenient","No","2","1","4","4","5","5","4","3","4","5","","1","5","3","4","4","5","4","","24-30","Male","Yes","Business Administration / Management","Germany"
"2","2021-10-02 19:11:46","Yes","Last minute","Yes","Yes","Yes","Yes","No","No","No","Yes","Last minute order is too late or not delivered on their birthday ","Yes","4","3","5","5","5","4","3","2","1","3","","3","4","2","4","4","3","5","","24-30","Female","Yes","Business Administration / Management","Germany"
"4","2021-10-03 09:33:07","No","In advance","No","Yes","Yes","No","No","No","Yes","No","If I order something I want it to be delivered on time (and without the quote in the package). ","No","3","2","5","4","4","5","2","2","2","4","","5","3","2","2","4","4","1","","24-30","Female","Yes","Transportation and Warehousing","Sweden"
"5","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"6","2021-10-03 09:34:32","No","Last minute","No","Yes","Yes","No","No","Yes","Yes","No","Finding appropriate presents that can be sent to them for a low cost. ","Yes","1","4","4","3","4","4","4","2","1","3","","4","5","2","2","4","3","2","","24-30","Male","Yes","Information Services and Data Processing","Sweden"
"7","2021-10-03 09:34:23","Yes","Last minute","Yes","Yes","Yes","No","Yes","No","No","Yes","Choose a cheap and nice gift ","Yes","3","3","4","4","4","4","2","2","2","4","","4","4","4","1","4","4","4","","18-23","Female","Yes","Business Administration / Management","Portugal"
"8","2021-10-03 09:48:12","Yes","Last minute","Yes","No","Yes","No","No","No","No","Yes","One problem is that gifts arrives on time. ","Yes","2","2","5","5","5","5","4","3","4","4","Earrings","3","3","4","2","4","4","4","","24-30","Female","Yes","Business Administration / Management","Finland"
"9","2021-10-03 09:44:11","Yes","In advance","Yes","Yes","Yes","No","No","Yes","No","No","The address ","Yes","3","2","5","1","4","4","5","5","5","5","A letter or personalized card","5","5","5","5","4","3","5","Nop","24-30","Male","Yes","Health Care and Social Assistance","Mexico"
"10","","Yes","Last minute","No","No","Yes","No","No","No","No","Yes","Finding out what the need at the moment ","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"11","2021-10-03 09:48:49","Yes","In advance","Yes","No","Yes","No","No","No","No","Yes","To choose for what they really like","No","2","2","3","3","1","4","2","3","4","2","","5","2","3","3","4","4","3","","18-23","Female","Yes","Business Administration / Management","China"
"12","2021-10-03 09:52:03","Yes","Last minute","No","No","Yes","No","No","No","Yes","No","Reachability ","Yes","1","2","4","3","2","5","5","3","2","4","","2","3","3","2","4","3","3","","24-30","Male","Yes","Business Administration / Management","Spain"
"13","2021-10-03 09:51:03","Yes","Last minute","Yes","No","Yes","No","No","No","No","Yes","Finding something on internet","Yes","2","4","5","5","5","5","2","2","3","4","","4","4","4","3","4","2","3","","18-23","Male","Yes","Business Administration / Management","Italy"
"14","2021-10-03 10:04:31","No","Last minute","No","Yes","No","No","No","Yes","No","No","actually there is no problem, there are a lot of marketplaces where I can pick any appropriate address","Yes","2","2","4","4","4","5","5","5","4","5","household items (cups, small dishes, decorations for the holiday), something useful for work and study (notebooks, pens)
","4","5","4","5","4","5","5","","18-23","Female","Yes","Business Administration / Management","Russian Federation"
"15","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"16","2021-10-03 09:52:02","Yes","Last minute","No","Yes","Yes","Yes","No","No","No","No","Gift quality and price","Yes","2","1","5","3","3","5","5","2","5","4","","4","5","5","3","4","5","5","","24-30","Female","Yes","Business Administration / Management","India"
"17","2021-10-03 10:08:50","Yes","In advance","Yes","No","Yes","Yes","No","No","No","Yes","Making sure the gift will be there the exact same day and not before or latter. Also, making sure she is at home to get the package.","Yes","3","2","4","4","4","4","2","5","5","2","","4","5","4","5","4","3","3","","18-23","Female","Yes","Business Administration / Management","Spain"
"18","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"19","2021-10-03 10:20:40","No","Last minute","Yes","No","Yes","No","No","No","No","Yes","To make sure the gift arrives at a proper time. Not too early and not too late for their birthday ","Yes","1","2","3","3","4","5","3","2","2","2","","4","5","4","3","4","4","5","","18-23","Male","Yes","Business Administration / Management","Italy"
"20","","Yes","In advance","Yes","Yes","Yes","No","No","No","No","Yes","Options ","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"21","2021-10-03 10:34:03","No","Last minute","No","No","Yes","No","No","No","No","Yes","Buying and sending it","Yes","1","2","3","2","2","2","1","1","1","1","","4","5","4","3","4","5","5","","24-30","Female","Yes","Business Administration / Management","Switzerland"
"22","2021-10-03 10:41:21","Yes","In advance","Yes","Yes","Yes","Yes","Yes","No","No","No","The distance, the timing of the package received, the amount, or sometimes even the package being received and never getting acknowledged to the sender","Yes","2","4","5","5","5","5","1","3","1","3","Accessoires, Watchers, Cologne, souvenirs from countries, Postcard or Letter ","4","4","4","4","4","5","5","Option of timing of receivable or comparison of gifts","18-23","Male","Yes","College, University, and Adult Education","India"
"23","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"24","","No","Last minute","No","No","Yes","No","No","No","Yes","No","The action of giving it physically ","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"25","2021-10-03 11:07:19","Yes","In advance","No","Yes","Yes","Yes","Yes","Yes","No","No","make sure that it arrives on time","Yes","2","2","3","4","3","5","5","3","3","3","Individualized photo products like cups with own picture on it","3","3","2","3","2","3","4","","24-30","Male","Yes","Business Administration / Management","Germany"
"26","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"27","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"28","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"29","2021-10-03 12:41:02","Yes","Last minute","Yes","No","Yes","Yes","Yes","No","No","Yes","shipping fees ","Yes","3","4","3","5","5","5","3","3","3","3","","3","5","1","2","4","4","4","you probably thought about it but to make sure the person doesn't miss the delivery, they should be sent an email saying they'll be receiving a gift (anonymous sender) and then they can figure out the best delivery method. 
And the possibility to add a personalized card or message with the gift !","24-30","Female","Yes","Business Administration / Management","France"
"30","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"31","2021-10-03 12:52:58","Yes","Last minute","No","Yes","Yes","Yes","No","No","No","No","What to buy that they would be able to recieve","Yes","2","3","4","5","5","5","3","4","3","4","","4","4","4","5","4","5","5","","18-23","Female","Yes","Business Administration / Management","Spain"
"32","","No","Last minute","No","No","No","No","No","No","Yes","No","proximity for physical handover not available","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
"33","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","N/A","","",""
